#separator:tab
#html:true
Give four examples of resource types for pipelined CPU architecture.	"Register Read Ports
<br>
Register Write Ports
<br>
Integer ALU
<br>
Floating Point ALU

"
What is a resource in a pipelined CPU architecture and how do they limit performance?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>A resource is a piece of hardware within the CPU which performs a particular function as part of an instruction micro-sequence.<br>In a pipelined CPU, a certain resource may be required a multiple times in a clock cycle, and if there are multiple resources of that type this might be okay.<br>However, if more resources are required than availible, this will raise a structural hazard and stalls will be required.<br>This wastes clock cycles and limits performance.</div>
"
What is the Issue Width of a processor?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>The issue width is the maximum number of instructions a processor can dispatch tto its functional units for execution within a single clock cycle.<br>A super-scalar processor is defined by it's issue width being greater than 1.</div>
"
What defines a super-scalar processor?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>It has an Issue Width of more than 1.</div>
"
What is a cache miss?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>A cache miss is where data being requested from the cache is not found, requiring a slower loading of data from a lower level of cache (more capacity but slower fetch) or even from main memory,<br>The miss latency is how long the resulting load takes instead. This can be several orders of magnitude difference.</div>
"
What is miss latency?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>When a cache miss occours (the data being loaded is not in cache), the miss latency is the delay in loading.</div>
"
What are reservation stations?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>A reservation station (also called a unified reservation station or a unified scheduler) is a descentralised feature of the microarchitecture of a CPU that allows for register renaming.<br>This allows the CPU to fetch and re-use a data value as soon as it has been computed, instead of waiting for it be stored in a register and re-read.</div>
"
What is Amdahl's Law?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'><br>\[\text{overall speedup}=\frac{1}{(1-\text{time optimised})+\frac{\text{time optimised}}{\text{speedup optimised}}}\]<br>where&nbsp;\(\text{overall speedup}\)&nbsp;is the overall speedup of the whole program from the applied speedup of that one task,&nbsp;\(\text{time optimised}\)&nbsp;is the propotion of time spent on the spedup portion of code, and&nbsp;\(\text{speedup optimised}\)&nbsp;is the given speedup value for that one task.<br><br>For overall speedup over multiple enhancements use<br>\[(1-(t_{a}+t_{b}+t_{c})+(\frac{t_{a}}{s_{a}}+\frac{t_{b}}{s_{b}}+\frac{t_{c}}{s_{c}}))^{-1}\]<br></div>
"
Where in the VLE is the MIPS instruction set PDF located and what are the categories of instruction listed there?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'><b>Instruction Refrence Sheet&nbsp;</b>under&nbsp;<i>Practical Documentation</i>&nbsp;where it lists: arithmetic, logical, data transfer, conditional branch, comparison, unconditional jump, system call, assmebler directives, and register operations.</div>
"
How does K-way set-associative mapping assign bits to the Tag, Index, and Byte Offset fields of a memory address?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>It is a mapping where each set in the cache has&nbsp;\(k\)&nbsp;cache lines (block of fixed-size data from memory to cache) in it.<br>Byte offset represents which byte to access in a block (for&nbsp;\(2^{b}\)&nbsp;bytes of block size you need&nbsp;\(b\)&nbsp;bits for the offset field).<br>Index represents which set the block maps to for&nbsp;\(S\)&nbsp;sets in the cache where\[S=\frac{\text{cache lines}}{k}\]where&nbsp;\(log_{2}(S)\)&nbsp;is the number of bits required.<br>Tag bits occupy the rest of the memory address so&nbsp;\[\text{tag bits}=\text{address size}-\text{index bits}-\text{offset bits}\]<br></div>
"
What is cache thrashing?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>Cache thrashing is where values are being repeatedly removed and re-fetched from the cache, leading to inefficienies and degrading performance.</div>
"
What are the different levels of CPU cache and what do they do?	"Cache L1: Closest to the CPU, Fastest, Least Capacity / Smallest
<br>
Cache L2: Off-Chip / Further from the CPU than L1, Slower than L1, More Capacity / Larger
<br>
Cache L3: Shared Among CPU Cores, Slower than L2, Even More Capacity / Larger Still
<br>
Cache L4: Used in specialist machines only, Slowest, Most Capacity / Largest

"
Explain the effect that increasing the page size has on CPU utilisation.	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>If data is being accessed sequentially, increasing the page size will lead to fewer page faults.<br>However, if the data is being accessed more or less randomly, there could be more page action because fewer pages can be kept in memory and more data is transferred per page fault.<br>Increasing page size is just as likely to decrease CPU utilisation as increase it.</div>
"
What is pre-paging?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>A process can be executed most efficiently if only some of its pages are loaded into memory at any given time.<br>Pre-paging (as opposed to demand paging) is where the OS guesses at which page of memory will be required next and loads it into memory early.<br>On the other hand, demand paging only loads pages into memory when a page fault makes it clear that the data required for a process has not been prepared.</div>
"
What is demand paging?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>Demand paging only loads pages into memory when a page fault makes it clear that the data required for a process has not been prepared.</div>
"
What does the number of frames mean in the context of page replacement algorithms?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>A page is a fixed-length contiguous block of virtual memory.<br>Alternatively, a page frame is the smallest fixed-length contiguous block of physical memory into which the OS maps pages.<br>Every process must be assigned frames so that they will have pages with which to complete an instruction. More frames means the process can have more pages in memory at any given time.<br>Page replacement algorithms generally operate under the assumption of a fixed number of pages per process, and use this to decide which page to swap out when needed.</div>
"
What is a page?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>A page is a fixed-length contiguous block of virtual memory described by a single entry in a page table. Smallest unit of virtual memory a certain OS can provide.</div>
"
What is a frame / page frame?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>A page frame is a fixed-length contiguous block of physical memory that the OS maps pages into.</div>
"
What are the two main types of cache-write mechanisms?	"<b>Write Through:<br></b>- Data is simultaneously updated in cache and memory.<br>- Simpler and more reliable than write back.<br>- Used when there are no frequent writes to the cache.<br>- Will experience latency from the double write.<br>- Helps in data recovery and solves the inconsistency problem.
<br>
<b>Write Back:<br></b>- Data updated only in cache.<br>- Will update into memory later when cache line is ready to be replaced by a page replacement algorithm.<br>- Each cache block needs a bit to indicate if it was updated (dirty) or not (clean)<br>- Dirty blocks will be lost on cache failure.


"
Describe the write through mechanism.	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>- Data is simultaneously updated in cache and memory.<br>- Simpler and more reliable than write back.<br>- Used when there are no frequent writes to the cache.<br>- Will experience latency from the double write.<br>- Helps in data recovery and solves the inconsistency problem.</div>
"
Describe the write back mechanism.	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>- Data updated only in cache.<br>- Will update into memory later when cache line is ready to be replaced by a page replacement algorithm.<br>- Each cache block needs a bit to indicate if it was updated (dirty) or not (clean)<br>- Dirty blocks will be lost on cache failure.</div>
"
What is a dirty block?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>A dirty block is a block of data in cache which has not yet been written to more permanent storage. If the cache is wiped, data modified in the dirty block will not be preserved in main memory.</div>
"
What is a clean block?	"<div style='font-family: ""Liberation Sans""; font-size: 20px;'>A clean block is a block of cache memory which faithfully represents the contents of main memory either because it has been modified to match cache or was like that to begin with.</div>
"
